new_cases,positive_rate,new_deaths
2068,0.091,3
2295,0.089,9
1704,0.089,11
1741,0.086,7
2027,0.083,8
2593,0.085,4
3027,0.086,8
2643,0.085,16
2451,0.08,5
2433,0.08,9
2232,0.078,4
3309,0.082,4
2985,0.079,4
3337,0.071,15
3211,0.065,8
4029,0.064,8
3339,0.062,7
3306,0.06,4
3631,0.057,14
4008,0.058,11
3170,0.056,12
3631,0.057,18
4275,0.058,7
3346,0.058,11
3048,0.058,11
3585,0.059,11
3680,0.056,7
4094,0.06,10
5725,0.067,16
5728,0.072,13
5298,0.078,14
4214,0.083,10
3455,0.086,21
4284,0.089,18
4571,0.089,17
3391,0.082,19
3847,0.076,12
3731,0.071,15
3100,0.07,24
2764,0.066,13
3288,0.065,14
3384,0.062,13
3318,0.063,17
3499,0.067,5
2464,0.07,7
2176,0.069,10
2720,0.07,8
2998,0.071,22
2712,0.07,25
2936,0.067,13
2461,0.058,8
3297,0.056,5
2192,0.054,6
2468,0.052,14
3545,0.052,12
1924,0.049,12
2253,0.049,11
2364,0.049,10
2437,0.047,9
1828,0.046,5
1555,0.044,6
1745,0.041,7
2063,0.044,5
2154,0.045,6
1680,0.045,7
1683,0.043,3
1529,0.044,8
1280,0.044,9
1448,0.043,5
1647,0.04,9
1575,0.037,3
1470,0.035,3
1354,0.034,4
1208,0.032,3
1063,0.03,5
1219,0.029,2
1213,0.027,3
1576,0.027,2
1671,0.027,4
1327,0.027,4
1116,0.026,5
1384,0.027,6
1268,0.028,2
1360,0.028,2
1275,0.027,1
1199,0.026,2
1302,0.026,4
941,0.026,5
1133,0.025,5
1482,0.026,7
1178,0.025,6
1294,0.025,5
1638,0.027,3
1349,0.027,2
1070,0.027,7
1300,0.028,5
1139,0.027,4
1285,0.027,4
1854,0.028,5
1510,0.028,8
1739,0.029,8
1317,0.029,4
1767,0.03,12
1889,0.032,8
2148,0.034,10
2551,0.035,2
2331,0.036,5
2195,0.036,8
2078,0.035,8
2341,0.036,3
2340,0.037,11
2875,0.038,7
2847,0.038,8
2717,0.038,11
2690,0.039,10
2776,0.041,13
2733,0.041,13
3142,0.042,15
3332,0.042,15
3788,0.044,14
2881,0.044,15
3418,0.046,12
2500,0.046,18
3120,0.047,23
3744,0.047,17
3551,0.047,19
4498,0.047,22
4519,0.051,25
3733,0.05,26
3807,0.053,17
3973,0.054,22
4765,0.056,39
4855,0.058,27
4113,0.06,34
4140,0.063,44
3780,0.066,36
4446,0.065,45
4865,0.063,47
6075,0.063,46
6806,0.064,59
